TEXT;Age group;Gender;TOPICS
Large selection in a small shop, quick service at the cash register;30 - 60;Female;Range of goods | Staff
Large, spacious shop, clear goods.;60+;Male;Clarity | Space
More action would want it;< 30;Female;Promotions
Pretty good business, friendly staff.;< 30;Male;Look and feel | Staff
I am very pleased with shopping here, goods well arranged.;< 30;Male;Look and feel | Clarity
They don't have good meat, it's smelly.;< 30;Female;Quality of meat | Quality of goods
Small choice of assortment, especially pastries;60+;Female;Availability of goods | Availability of bakery | Range of bakery | Range of goods
Too bad there is no restaurant;< 30;Male;Vouchers, loyalty
Large selection of food, drugstore, clothing;60+;Female;Range of goods
Introduce self-service cash registers also for cash payment;60+;Male;Self-checkout
I was not satisfied with the cheese assortment, it was bad several times in a row.;30 - 60;Male;Availability of goods | Quality of goods
Sometimes I come here for action items, but there are too many people and long queues for me.;60+;Male;Queues
I don't like the way they translated it here. I used to shop better here;30 - 60;Female;Arrangement of the store | Clarity
The store is spacious and clean, the goods continuously added;< 30;Male;Availability of goods | Space | Cleanliness
Fresh bakery;< 30;Male;Quality of bakery | Quality of goods
It's a cool shop for me;60+;Female;Look and feel
He decides to enlarge the business here;30 - 60;Male;Space
Bugs food, empty shelf;30 - 60;Male;Availability of goods | Range of goods
I go shopping here only, I'm happy here.;30 - 60;Female;Availability of goods | Look and feel | Range of goods
Wrong price, overlooked in vegetables;30 - 60;Female;Price Tags
I have good shopping here, there is an overview.;30 - 60;Female;Arrangement of the store | Look and feel | Clarity
Good parking at the shopping center Hloubětín.;30 - 60;Female;Parking
Sometimes there is no action;< 30;Female;Availability of goods | Availability of promo goods
I don't know, I'd rather shop somewhere else, and I don't talk much with my friends about where to shop;30 - 60;Female;Arrangement of the store
Significantly expensive, small storage counters, spacious shop;60+;Male;Pricing | Space
Expensive alcohol;30 - 60;Female;Pricing
Small shop and worse orientation to stores;30 - 60;Female;Arrangement of the store | Space
Unclear shop, I misunderstand here when looking for something;30 - 60;Female;Arrangement of the store | Clarity
Renovated nice shop, we have good shopping here.;30 - 60;Male;Look and feel
Long waiting at the box office, no pastries in the evening, good meat;30 - 60;Male;Availability of goods | Queues | Availability of bakery
I make a great shopping here comfortably;60+;Female;Look and feel | Range of goods
Hygiene at the store is terrible, people carry dogs in shopping trolleys, then you put food into it, it should not;30 - 60;Male;Cleanliness
I go here often it's clear;30 - 60;Female;Clarity
More open cash registers I would take.;30 - 60;Female;Queues
Great choice, good shopping, cheap prices.;< 30;Female;Pricing | Range of goods
Vegetables could be fresher than them;< 30;Male;Quality of FV | Quality of goods
We visit the store since the opening and have improved a lot.;< 30;Female;Look and feel
They have animal feed for all animals.;60+;Female;Availability of goods
There are terribly small streets.;60+;Male;Space
I don't know, but there is less choice.;30 - 60;Female;Range of goods
Bad entry for disabled;30 - 60;Female;Space
Large selection of cheese and salam. Only sometimes the fruit in action is sold out immediately and have no supplement;30 - 60;Male;Availability of goods | Availability of promo goods
Few meats to choose from.;< 30;Female;Availability of goods | Availability of meat | Range of meat | Range of goods
I think there should be more things in action;< 30;Male;Promotions
The large space between the shelves makes it neatly shelf layout, but less quality vegetables;60+;Female;Quality of FV | Quality of goods
The small shop in Rožnov is larger;60+;Female;Space
There is little space on the store;60+;Female;Space
More goods, larger assortment;< 30;Female;Availability of goods | Range of goods
Me suits here, although more expensive, but a wider range.;30 - 60;Female;Pricing
I don't really like it here. Probably few cultural and old;30 - 60;Female;Look and feel
Range of products and good prices for good quality.;< 30;Female;Pricing | Range of goods | Quality of goods
Satisfied, clear goods.;30 - 60;Female;Look and feel | Clarity
I am satisfied with the quality and offer of goods. I like the environment.;60+;Female;Look and feel | Range of goods | Quality of goods
There are terribly small streets.;< 30;Male;Space
Good offer, redesigned nice shop;< 30;Male;Look and feel | Range of goods
Check price tags, pick vegetables;60+;Female;Quality of FV | Price Tags | Quality of goods
They have a good selection of goods but high prices;60+;Male;Pricing | Range of goods
Wide streets, well accessible;< 30;Male;Arrangement of the store | Look and feel | Range of goods
Sometimes miss action and no pastry in the evening.;30 - 60;Female;Availability of goods | Availability of bakery | Availability of promo goods
I don't know, otherwise everything else is fine;30 - 60;Female;Look and feel
More revenge in the alley otherwise well;< 30;Female;Arrangement of the store
Weekend flushes, more cashiers;< 30;Female;Queues | Staff
It's very nice here, we are happy here;60+;Female;Look and feel
Goods in action is not;30 - 60;Male;Availability of goods | Availability of promo goods
I am satisfied with the offer of goods and the attitude of the staff;< 30;Male;Range of goods | Staff
It is a spacious shop, it is easy to shop with a pram. Nice staff;< 30;Male;Look and feel | Range of goods | Staff | Quality of goods
Drugstore;< 30;Female;Range of goods
The cell shop is wrong and it cancels the advice;< 30;Male;Other
Assortment, staff, quality;60+;Male;Range of goods | Staff | Quality of goods
It could be cozier here;30 - 60;Male;Look and feel
There are no price tags for goods;30 - 60;Male;Price Tags
It suits me, the new renovation of the shop, better orientation in the shop;30 - 60;Female;Arrangement of the store | Look and feel
Business is too small, business expansion.;30 - 60;Female;Space | Range of goods
After the reconstruction is chaotically arranged.;60+;Male;Arrangement of the store | Clarity
I like coming here, there is a pleasant environment, a wide range of food. Good choice of drugstore.;< 30;Male;Look and feel | Range of goods
I don't know it's small and closed on Sundays;30 - 60;Female;Opening hours | Space
I like shop, merchandise, freshness;30 - 60;Female;Look and feel | Range of goods | Quality of goods
Nothing comes to my mind to change.;60+;Female;Other
Clearly, well baked, nice staff.;30 - 60;Female;Arrangement of the store | Quality of bakery | Clarity | Staff | Quality of goods
Clear, clean, sufficient choice.;< 30;Female;Clarity | Range of goods | Cleanliness
Discount goods mainly fruits.;< 30;Male;Pricing
Delicatessen, staff;30 - 60;Female;Quality of goods
Free parking for customers;30 - 60;Male;Parking
It's a small shop that's all here;30 - 60;Male;Space | Range of goods
Browse goods, purely in stores;60+;Female;Clarity | Cleanliness
I really like it here, shopping is good;30 - 60;Male;Look and feel
We like it here and close, we buy and choose well.;60+;Male;Look and feel | Proximity
I'm happy here. Everything suits me;30 - 60;Male;Range of goods
I'll buy a good one here;< 30;Male;Range of goods
I got it closest to the house.;< 30;Male;Proximity
Satisfaction with the staff of the store;< 30;Male;Staff
Have more cash registers at peak hours;60+;Female;Queues
Missing a toilet for customers, occasionally a mess on the shelves,;60+;Female;Arrangement of the store | Cleanliness
It would take a bigger shop. Some assortment is completely missing.;30 - 60;Female;Space | Range of goods
There is nothing to reproach, sometimes long rows.;< 30;Female;Other
Convenient position, opening hours. It bothers a narrow assortment of drinks and frozen goods;30 - 60;Female;Range of goods
I like special prices in food;60+;Male;Promotions
Big discounts on merchandise from leaflets.;30 - 60;Male;Availability of goods | Promotions | Availability of promo goods
It's on my way home, it's not a big deal to get lost;30 - 60;Female;Arrangement of the store | Space
I have become a customer, I buy well here;30 - 60;Female;Look and feel
Occasionally the quality of vegetables is worse but yonak ok.;< 30;Female;Quality of FV | Quality of goods
But it is good to buy but for me it's a bit big I do not know here;60+;Male;Arrangement of the store | Clarity
I don't like what it looks like here;60+;Male;Clarity
Helpful staff, assortment, clarity;60+;Female;Clarity | Range of goods | Staff
I prefer smaller and quieter stores. This one suits me.;60+;Female;Look and feel | Space
They advise me, it's fast here, helpful staff;< 30;Male;Queues | Staff
I used to come here from the beginning.;60+;Female;Look and feel
Friendly staff, good goods, shop nice, clean, arranged.;< 30;Male;Clarity | Range of goods | Staff | Cleanliness
Clean and tidy, well-arranged shop;60+;Male;Arrangement of the store | Clarity | Cleanliness
After reconstruction very nice and nicely minted and well arranged;30 - 60;Male;Arrangement of the store | Look and feel | Clarity
So I was satisfied here and had no problem;< 30;Male;Look and feel
New redesigned shop, better space in the streets certainly better;60+;Male;Arrangement of the store | Clarity
Well, I gotta get used to how it's arranged here. I have to get use to it;< 30;Female;Arrangement of the store
Purity;30 - 60;Female;Cleanliness
Sometimes I was dissatisfied with the saleswoman's attitude;60+;Female;Staff
I had a hard time getting used to the new arrangement, now I'm happy. I have to admit that the store is well stacked;30 - 60;Female;Arrangement of the store | Clarity
Everything in one place, great drugstore;30 - 60;Female;Availability of goods | Look and feel | Range of goods
