SENTIMENT;TEXT
Negative;Better quality and freshness of everything
Negative;I miss some assortment
Positive;Convenient proximity shop, fresh fruit and vegetables
Positive;Pleasant shopping environment.
Positive;I like meat and sausages here
Positive;Here I like, it's clean.
Negative;To mute the music at the store, otherwise satisfied, they have bad signs at the merchandise
Negative;Sometimes there are no things that are in action
Negative;Very unpleasant staff, unhealthy and when I need advice, not willing, narrow selection in the range
Positive;There's a good choice of everything, everybody has to choose here.
Positive;I park, I'm on my way, I buy
Positive;Shop super amazing shop assistant
Positive;High quality local groceries are the best they are here now.
Negative;There are long queues at the ticket offices
Negative;Occasionally queues at the ticket offices.
Negative;Long waiting at the checkout, it could have gone faster.
Negative;Chaos at the box office, goods are missing.
Positive;I buy here advice, definitely recommend
Negative;It is not well organized, high prices.
Positive;Satisfied had a nice well-completed store
Positive;Pleasant environment, wide range, interesting special offers. Selection of cut flowers.
Positive;So there are good discounts, it is clear here
Positive;A vast store, sufficient assortment, buy what he needs
Negative;More persnonal, more refill, better quality, rebuild space.
Positive;Sufficient assortment
Negative;It is not possible to pay cash at the self-service checkout
Positive;Yeah, I like their actions here
Negative;Make the pastry after 16 hours fresh too.
Negative;The special offer makes it difficult to get through
Positive;Good parking space spaciously
Negative;Prices on the shelf do not agree with reality
Negative;Because there is little choice and they are generally more expensive
Positive;Overall, I don't mind her here
Negative;Small assortment of vegetables
Positive;I like it here, I have no reservations here
Positive;I have no reason not to give ten
Negative;Something is expensive here, like butter or sausages, I buy it only in promotions.
Positive;Good offer, redesigned nice shop
Negative;Will see the pastry hard and long queues
Negative;They don't have a large selection of goods
Negative;Frequent queues of cash registers and recently worse quality vegetables
Positive;Usually we only come here
Negative;When all the floors were here it was fine now it sucks
Negative;Will see the pastry hard and long queues
Positive;Great offer of fruits and vegetables.
Negative;The store seems a little dirty to me otherwise it's good
Positive;It has long been open
Negative;Small assortment of food and everything.
Negative;Not action goods Vietnamese buy it in bulk
Negative;Occasionally missing goods to action
Positive;I'm modest and I like it here
Neutral;Quality, choice
Positive;They have good action here so it's a cheap shop for me
Positive;Spacious shop, good selection of children's goods, consumer goods. Self-service checkout
Negative;Because they don't have everything and I have to go shopping elsewhere
Negative;Well, it's small
Negative;Few goods of high price, otherwise not much
Negative;More cash registers or self service
Negative;Little action on alcohol
Positive;Because it's nice here, I like it here
Negative;All I have to do is come here, I have it close and there is nothing else, until Kaufland and he is far away, I would like lower prices.
Positive;We like to shop here, it's nice, well arranged.
Positive;There's good stuff with I got it close
Negative;There's no café or patisserie, it's a shame
Negative;It's overpriced here
Positive;Good pastries and helpful staff.
Positive;Compliant assortment
Positive;Large well-arranged, interesting events
Positive;We are happy for the store, we do not have to go far and there is good goods to buy
Positive;It's a nicely assembled and good choice here.
Negative;The size of the business is desperate.
Negative;More open cash registers ,,
Negative;It is very expensive to trade high prices
Positive;I like the surrounding shops, I have good shopping here
Positive;Almost never queue at checkout
Positive;Pleasant environment, fresh ham
Negative;Big packs of meat, smaller packages
Positive;I am most satisfied with the self-service checkout, I do not have to queue as in other stores
Positive;Availability, good prices, parking
Positive;Fresh fruits and vegetables, nice setting
Negative;Cheaper goods mainly pastries in the evening
Positive;Nice, new, friendly, good staff
Positive;Now it has improved a lot after the rebuilding.
Positive;I got it on my way. There aren't so many people
Positive;I haven't seen anything spoiled or old here, purely here and otherwise there are little things like in any other shop
Positive;Large and nice parking, everywhere in the shop clean and a large space between the shelves
Negative;Unpleasant spaces, look like in the factory
Positive;I like to buy especially large purchases here
Positive;Cheap and quality goods, large and clear shop
Positive;The staff is helpful and there is a lot of staff available
Positive;The shop is clean friendly staff
Negative;Not much more viable shop selling with crates
Negative;They have quite often sold out.
Positive;Excellent cheeses and a large selection of dairy products
Positive;Super prices, great selection, quality fruits and vegetables, pastries, long waiting at the checkout, do not ginger
Positive;I have nothing to improve I am satisfied
Positive;I'm happy here. I shop well here
Neutral;Nothing comes to mind, I have no reservations
Positive;Shop in a good location and easily accessible.
Negative;Little willing staff can not help
Negative;Prices do not fit with meat.
Positive;I probably have no comments
Negative;Larger range, better stocking.
Positive;It's a nice repair here, friendly staff, I shop here often.
Negative;Missing in the shop public toilet.
